gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000183704.6	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270242.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000271375.1	0.001	0.001	0.001	0.001	0.001	0.7758	0.001
ENSG00000234385.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265161.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000215583.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235649.2	0.1016	0.04565	0.0135	0.001	0.1567	0.1204	0.09912
ENSG00000236477.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232226.2	0.6834	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000243980.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
