gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000251253.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248396.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248431.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251123.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250027.1	0.1292	0.14065	0.1935	0.001	0.2432	0.2235	0.3275
ENSG00000145414.4	6.21	3.133	7.815	1.144	12.38	6.594	8.938
ENSG00000250547.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000164128.2	0.9224	7.379	4.378	0.03086	0.08118	16.52	2.254
ENSG00000164129.7	0.06897	0.3195	0.3572	0.001	0.001	1.627	0.205
ENSG00000227283.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000151005.3	0.001	0.001	0.01963	0.001	0.001	0.01954	0.05166
ENSG00000198498.5	13.57	7.13	9.296	2.01	30.37	13.2	12.42
ENSG00000264535.1	0.001	0.001	0.001	0.001	0.001	0.2702	0.001
ENSG00000145416.9	2.304	1.4805	3.493	4.272	1.786	3.843	6.325
ENSG00000273449.1	2.8	1.6465	3.473	0.6988	2.026	3.32	3.435
ENSG00000253001.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000177803.7	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250746.1	0.043	0.03075	0.1085	0.04023	0.1207	0.04453	0.08467
ENSG00000248546.3	0.001	0.001	0.0739	0.08946	0.001	0.001	0.04472
ENSG00000251162.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000223037.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248162.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248771.1	0.001	0.43705	0.001	0.001	0.001	1.226	0.05886
ENSG00000201050.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248329.1	0.02255	0.001	0.001	0.001	0.001	0.05025	0.001
ENSG00000250227.1	0.001	0.001	0.0269	0.001	0.001	0.001	0.001
ENSG00000244146.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221891.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270960.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248645.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000121089.4	1.174	0.5145	0.9738	0.5276	1.194	0.9497	1.05
ENSG00000236941.5	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000183439.5	0.09622	0.062865	1.469	0.06394	0.7735	0.05978	0.6402
ENSG00000250486.2	0.3602	0.40245	5.505	0.03853	1.928	0.5798	0.9387
ENSG00000248632.1	0.2557	0.1677	2.505	0.1203	1.261	0.2374	1.473
ENSG00000248229.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250887.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250712.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240674.1	0.07981	0.07067	0.1407	0.001	0.1164	0.07934	0.1292
ENSG00000250430.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000176979.8	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249617.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250374.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000273097.1	0.613	0.7803	1.858	0.001	0.8575	0.7715	1.27
ENSG00000170088.9	4.719	5.8395	7.082	1.536	12.52	8.599	8.4
ENSG00000109466.9	25.75	4.5155	30.82	16.73	12.18	26.67	26.93
ENSG00000200974.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229894.2	0.0781	0.001	0.06184	0.2325	0.02344	0.08373	0.1369
ENSG00000052802.8	140.1	10.0025	22.59	5.371	60.21	28.58	80.39
ENSG00000109472.9	30.47	33.315	542.5	0.7614	61.43	108.4	49.74
ENSG00000207559.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251596.1	0.07837	0.05563	4.337	0.001	0.101	0.2455	0.1374
ENSG00000248287.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248327.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250725.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249500.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000038295.3	0.8805	0.478	1.327	0.001	0.5372	1.187	1.75
ENSG00000252959.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000266254.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000206711.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249675.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000196104.6	0.01907	0.05696	0.0923	0.01895	0.0154	0.06434	0.08602
ENSG00000212373.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250150.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240772.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248913.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000222721.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270336.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248601.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000109511.6	0.05567	5.299	0.0288	0.001	0.1346	0.1986	0.0632
ENSG00000137628.12	2.66	1.6045	4.905	1.949	6.322	4.925	11.32
ENSG00000238744.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000181381.9	2.031	1.7525	3.554	14.83	7.861	4.351	11.91
ENSG00000207171.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000129116.13	55.65	4.9145	13.74	0.8403	101.9	43.9	103.9
ENSG00000229226.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249623.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000206613.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000214676.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249609.1	0.07349	0.001	0.1395	0.001	0.1052	0.09882	0.2194
ENSG00000145439.7	9.22	5.196	14.85	2.451	9.916	11.57	8.892
ENSG00000201176.1	0.001	0.001	0.3335	0.001	0.001	0.001	0.001
ENSG00000201818.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251445.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000154447.10	5.901	4.7915	6.939	0.3236	19.13	23.11	14.44
ENSG00000214671.4	0.001	0.001	0.001	0.001	0.001	0.05984	0.001
ENSG00000251171.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000137601.11	4.445	1.893	9.208	0.5184	13.71	4.836	6.62
ENSG00000109572.9	30.37	11.92	29.45	2.901	24.41	28.61	14.84
ENSG00000056050.6	23.06	10.34	38.11	4.869	39.77	19.23	25.64
ENSG00000264713.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229204.2	1.084	0.41725	0.8946	0.5241	1.246	0.885	1.23
ENSG00000248625.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248319.1	0.001	0.001	0.007129	0.001	0.001	0.001	0.001
ENSG00000251200.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249955.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000198948.7	0.3897	0.55095	3.941	0.4395	2.533	0.654	1.192
ENSG00000109576.9	2.79	3.5295	10.43	0.02628	10.62	2.366	6.254
ENSG00000248822.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248739.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250266.1	0.001	0.08184	0.001	0.001	0.001	0.001	1.112
ENSG00000251061.2	0.001	0.001	0.001	0.001	0.001	0.001	0.2527
ENSG00000250082.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000181359.5	0.03773	0.001	0.06376	0.02745	0.102	0.05388	0.09419
ENSG00000250968.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249943.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251961.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248872.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249525.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248755.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248339.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251176.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249297.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000174473.11	0.01871	0.015475	0.01691	0.02876	0.01857	0.1405	0.063
ENSG00000248637.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000245213.2	0.6804	0.3424	0.7598	0.3298	0.4768	0.8285	0.7289
ENSG00000241652.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000109586.7	18.81	11.465	8.128	4.47	11.88	32.69	8.51
ENSG00000221296.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248774.1	0.001	0.001	0.001	0.2767	0.001	0.001	0.001
ENSG00000164104.7	86.95	9.418	33.95	126.6	100	52.48	90.65
ENSG00000272870.1	1.664	0.617	4.394	0.8072	3.332	2.381	2.938
ENSG00000164105.3	11.86	4.158	11.27	21.25	23.87	15.16	21.4
ENSG00000164106.3	0.2047	0.13305	1.033	0.149	0.326	0.5737	0.489
ENSG00000242882.1	0.09028	0.058145	0.1188	0.0505	0.1029	0.1508	0.1793
ENSG00000252898.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000261646.1	0.04302	0.03773	0.03885	0.001	0.1015	0.1452	0.08666
ENSG00000164107.7	1.289	3.2495	0.2156	0.03324	18.66	1.264	0.2048
ENSG00000237125.4	0.4647	1.283	0.0782	0.01005	4.763	0.5776	0.06501
ENSG00000261672.1	0.001	0.06986	0.001	0.001	0.2392	0.001	0.001
ENSG00000234801.2	0.04865	0.001	0.08453	0.03882	0.1527	0.05287	0.106
ENSG00000213370.3	0.001	0.001	0.001	0.001	0.1431	0.001	0.001
ENSG00000250043.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250708.1	0.001	0.001	0.1855	0.001	0.001	0.001	0.001
ENSG00000251216.1	0.001	0.001	0.001	0.001	0.04555	0.001	0.001
ENSG00000248174.1	0.05226	0.1126	0.02924	0.001	1.218	0.05349	0.03782
ENSG00000250957.1	0.001	0.001	0.001	0.001	0.1151	0.001	0.001
ENSG00000251213.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000164117.8	19.66	6.794	22.51	3.622	21	16.57	19.54
ENSG00000164118.8	5.663	3.1765	11.32	1.231	8.68	6.765	8.008
ENSG00000249875.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265846.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000164120.9	50.92	0.2503	1.72	5.565	0.1697	1.786	51.64
ENSG00000250596.1	0.4818	0.001	0.001	0.001	0.001	0.05942	0.6008
ENSG00000251584.1	0.3362	0.001	0.001	0.07124	0.001	0.04716	1.481
ENSG00000250760.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000145451.8	0.008788	0.036765	0.9178	0.001	0.001	0.01828	0.02937
ENSG00000168594.11	0.001	0.001	0.08602	0.001	0.001	0.01133	0.161
ENSG00000250200.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265493.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250431.1	0.001	0.001	0.001	0.001	0.001	0.001	0.9902
ENSG00000249411.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249284.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248551.1	0.001	0.001	0.001	0.001	0.001	0.001	0.3746
ENSG00000249945.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221136.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251174.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248574.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000150625.12	0.331	0.2538	3.684	0.1329	0.04527	0.3277	5.724
ENSG00000249106.1	0.001	0.001	0.0953	0.001	0.001	0.001	0.001
ENSG00000248249.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250372.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000264130.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000150627.11	0.4118	1.0615	15.36	0.02698	0.9878	0.9442	1.612
ENSG00000201516.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000150628.2	0.03538	0.05885	1.259	0.001	0.2554	0.09295	0.2009
ENSG00000164122.4	0.3161	0.020265	0.452	0.01859	0.1635	1.619	0.1089
ENSG00000248980.1	0.3501	0.468	0.657	0.2526	0.8397	0.5727	1.038
ENSG00000129128.8	38.09	54.865	62.58	25.55	100.4	53.94	72.39
ENSG00000248480.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248388.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000150630.2	4.388	0.8274	1.878	0.1701	54.83	10.58	23.95
ENSG00000249458.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250263.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000222859.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249008.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000109674.3	2.057	0.017175	0.0373	0.1752	2.767	0.1673	0.2158
ENSG00000249084.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000038002.4	22.21	8.028	10.36	7.655	18.84	20.31	14.69
ENSG00000250131.1	0.4441	0.12575	0.5398	0.1078	0.3188	0.3178	0.3542
ENSG00000201931.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221499.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251416.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231171.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251504.1	0.001	0.1201	0.001	0.001	0.001	0.001	0.08478
ENSG00000252388.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000253000.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000241877.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000201727.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000212191.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250839.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250993.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248921.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251025.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249883.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248197.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248770.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249460.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225356.2	0.001	0.001	0.1652	0.001	0.001	0.001	0.001
ENSG00000251336.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251742.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000177822.3	0.04495	0.02214	0.9226	0.001	2.201	0.07347	0.2734
ENSG00000251433.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000218336.3	0.6653	0.82515	8.195	0.007375	14.78	0.898	1.2
ENSG00000248266.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221227.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252343.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251714.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248816.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248694.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221186.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000272646.1	0.3247	0.27805	0.6827	0.001	0.4401	0.2443	0.4071
ENSG00000129187.10	45.53	21.295	46.05	9.45	99.09	35.41	44.21
ENSG00000250636.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000230219.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000273180.1	0.001	0.001	0.001	0.001	0.001	0.09831	0.001
ENSG00000272784.1	0.1841	0.07162	0.2011	0.001	0.3125	0.2057	0.5784
ENSG00000251359.3	0.56	0.13385	0.2342	0.01913	0.8384	0.4998	0.8093
ENSG00000151718.11	5.921	4.7985	3.977	0.2786	27.81	8.599	24.01
ENSG00000252702.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252048.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251128.1	0.001	0.13115	0.2497	0.001	0.001	0.001	0.001
ENSG00000238319.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000185758.7	0.07747	0.001	0.001	0.001	0.1189	0.1276	0.0868
ENSG00000238596.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250292.1	0.03216	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000263395.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248376.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000168564.5	27.77	7.3405	19.91	4.693	17.87	16.8	14.53
ENSG00000213434.2	0.001	0.080055	0.8474	0.001	0.1032	0.06079	0.1351
ENSG00000232648.3	0.2541	0.5056	2.156	0.001	0.5823	0.2498	0.2556
ENSG00000168556.5	16.04	7.217	33.36	5.286	21.46	11.31	12.77
ENSG00000272744.1	1.024	0.5925	3.495	0.1067	0.9788	0.3949	0.5114
ENSG00000239116.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000182552.10	10.69	7.625	19.01	2.115	16.07	9.818	9.347
ENSG00000252157.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000168538.11	17.56	8.1235	23.57	7.653	27.65	18.4	20.7
ENSG00000201433.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251739.1	0.5184	0.3536	0.8465	0.001	0.524	0.7269	0.7477
ENSG00000173320.5	5.446	3.0585	12.17	0.04106	0.03718	5.203	3.141
ENSG00000248206.1	0.3319	0.19935	0.6178	0.001	0.001	0.4049	0.09793
ENSG00000250726.1	0.07682	0.06814	0.4988	0.001	0.001	0.0754	0.1819
ENSG00000164303.6	0.1822	0.037135	4.399	0.01387	0.02976	0.8438	0.267
ENSG00000240159.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000221523.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000244512.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227765.3	0.2971	0.001	0.001	0.1507	0.06914	0.2869	0.2132
ENSG00000180712.3	0.2938	0.25455	0.1668	0.5093	0.159	0.8973	0.4314
ENSG00000249096.2	0.2137	0.10155	0.1579	1.102	0.09427	4.532	0.8073
ENSG00000168310.6	23.12	7.8285	18.13	50.24	29.76	27.52	38.2
ENSG00000251878.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270426.1	1.533	0.30445	3.292	2.368	0.5679	2.165	2.289
ENSG00000271646.1	2.613	1.307	6.108	3.066	2.993	4.386	3.842
ENSG00000271538.1	0.03144	0.061285	0.277	0.1118	0.1801	0.1962	0.1197
ENSG00000249056.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000254233.1	0.001	0.001	0.001	0.02503	0.001	0.001	0.05294
ENSG00000164305.13	32.78	6.5605	15.66	9.506	39.29	19.54	21.21
ENSG00000164306.6	6.63	3.1025	11.59	1.595	18.02	8.148	10.02
ENSG00000151725.7	16.76	0.7085	0.6119	1.327	10.07	3.46	2.748
ENSG00000151726.9	54.71	14.655	38.35	661	75.48	81.14	187.4
ENSG00000249138.1	0.3724	0.055715	0.6686	7.338	0.001	0.6937	5.372
ENSG00000251139.1	0.001	0.001	0.7451	2.49	0.001	0.1236	0.7228
ENSG00000251230.1	0.1062	0.001	0.02329	3.321	0.001	0.07885	2.505
ENSG00000266698.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249173.1	0.001	0.001	0.001	0.8492	0.001	0.001	0.3046
ENSG00000251147.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000263458.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248517.1	0.03975	0.001	0.001	0.001	0.001	0.08805	0.001
ENSG00000187821.4	0.001	0.001	0.001	0.001	0.001	0.001	0.2869
ENSG00000250754.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249520.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265619.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000151729.6	13.95	9.2815	49.87	1.075	5.313	22.48	24.47
ENSG00000164323.8	9.978	4.853	9.919	1.209	28.13	11.65	13.66
ENSG00000109762.11	6.472	5.1705	17.9	0.8964	15.65	9.205	25.07
ENSG00000109771.11	0.7331	1.1575	12.99	0.1112	0.9078	1.225	4.615
ENSG00000250410.1	0.3126	0.4551	2.63	0.001	0.437	0.5031	2.472
ENSG00000186352.4	20.46	4.8785	22.85	3.343	5.052	12.47	8.246
ENSG00000109775.6	22.85	13.11	24.96	3.966	27.17	23.63	22.94
ENSG00000207231.1	0.001	0.1808	0.3981	0.001	0.001	0.3163	0.001
ENSG00000205129.4	0.5729	0.71075	7.354	0.02901	1.53	1.141	1.571
ENSG00000168491.5	0.4906	5.604	3.777	0.01411	0.2069	1.958	0.468
ENSG00000249679.1	0.5507	0.6869	4.723	0.001	0.487	1.477	1.566
ENSG00000154553.9	45.6	7.793	35.96	0.7011	0.893	44.62	83.03
ENSG00000154556.13	7.758	16.585	20.18	0.09576	1.124	22.31	7.507
ENSG00000233110.1	0.6307	3.52	2.883	0.001	0.07475	5.247	0.8969
ENSG00000235902.1	0.1638	0.27485	1.671	0.001	0.001	0.5426	0.1209
ENSG00000207497.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235149.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000239034.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000222727.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000164342.8	4.23	1.716	0.7294	0.06689	4.416	3.313	5.111
ENSG00000109794.9	2.701	6.2535	5.318	0.04567	0.9238	4.028	5.47
ENSG00000253013.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250327.1	1.122	1.2435	2.096	0.001	0.8014	1.158	2.16
ENSG00000251008.1	0.4046	1.664	1.96	0.001	0.001	1.365	1.653
ENSG00000269302.1	0.2325	0.27845	3.855	0.06366	0.3174	0.4955	0.4429
ENSG00000145476.11	5.185	13.245	25.13	1.672	12.92	13.22	16.25
ENSG00000164344.11	0.4712	3.394	7.452	0.2719	0.1839	1.152	1.682
ENSG00000088926.9	0.001	12.27	0.1489	0.001	0.001	0.01784	1.575
ENSG00000251165.1	0.001	0.2215	0.001	0.001	0.01478	0.03301	0.02305
ENSG00000213332.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000212387.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000168412.6	0.001	0.21375	0.001	0.001	0.001	0.1117	0.001
ENSG00000083857.9	8.07	7.234	9.962	0.03904	55.04	15.18	14.46
ENSG00000252382.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250829.2	0.09202	0.001	0.001	0.001	0.9962	0.001	0.06104
ENSG00000272218.1	0.001	0.001	0.001	0.001	0.6894	0.001	0.001
ENSG00000249539.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249742.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250971.1	0.148	0.09314	0.001	0.001	0.1132	0.2187	0.3507
ENSG00000249747.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250658.1	0.02653	0.001	0.02031	0.001	0.001	0.001	0.09125
ENSG00000250042.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250620.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251643.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251490.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250590.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249642.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249162.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000213331.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000179059.5	0.001	0.001	0.001	0.001	0.001	0.001	0.04431
ENSG00000179046.4	0.001	0.001	0.001	0.001	0.03344	0.001	0.0302
ENSG00000241011.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000201085.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000184108.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000247130.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000248370.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000242169.2	0.1282	0.07493	0.06879	0.04113	0.1706	0.06184	0.08913
ENSG00000248880.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249378.1	0.001	0.001	0.001	0.001	0.1796	0.08139	0.001
ENSG00000250523.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252275.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000180015.11	0.4341	0.1536	0.4364	0.117	1.074	0.4812	0.7237
ENSG00000249269.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251619.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250626.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000250024.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251310.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000249877.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000205100.2	0.01734	0.001	0.02896	0.001	0.04077	0.02709	0.03522
ENSG00000250739.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000272566.1	0.001	0.09619	0.5027	0.001	0.001	0.1972	0.1777
ENSG00000202215.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000245685.2	0.0907	0.090785	1.229	0.02033	0.2279	0.1984	0.2501
